dissimilarity_used,k,n,time_results,iterations,assignments,cost_calculations,cluster_calculations
euclidean_distance,7,372,0.1660446999994747,7,2604,208912,2678
euclidean_distance,7,409,0.11231550000229618,5,2045,142969,2097
euclidean_distance,7,449,0.15695119999872986,5,2245,194873,2290
euclidean_distance,7,493,0.26561020000008284,8,3944,316698,4030
euclidean_distance,7,542,0.22027090000119642,5,2710,277682,2765
euclidean_distance,7,596,0.25736719999986235,5,2980,315352,3030
euclidean_distance,7,655,0.5887162999970315,8,5240,728956,5323
euclidean_distance,7,720,0.6037483000000066,8,5760,752528,5840
euclidean_distance,7,792,0.3169067000017094,4,3168,393620,3209
euclidean_distance,7,871,0.5749345000003814,6,5226,711632,5297
euclidean_distance,7,958,1.178575699999783,10,9580,1479782,9684
euclidean_distance,7,1053,1.2981885000008333,8,8424,1586516,8507
euclidean_distance,7,1158,1.081563299998379,6,6948,1347088,7013
euclidean_distance,7,1273,1.1647204999972018,5,6365,1434669,6422
euclidean_distance,7,1400,1.2012815999987652,5,7000,1491598,7056
euclidean_distance,7,1540,3.1387431000002834,9,13860,3898858,13950
euclidean_distance,7,1694,3.3164537999982713,7,11858,4130542,11940
euclidean_distance,7,1863,4.45963589999883,10,18630,5486496,18737
euclidean_distance,7,2049,4.6429558000018005,9,18441,5695647,18541
euclidean_distance,7,2253,3.4658550999993167,5,11265,4276733,11318
euclidean_distance,7,2478,5.131027399998857,6,14868,6345368,14933
euclidean_distance,7,2725,6.426726599998801,7,19075,7983641,19156
euclidean_distance,7,2997,4.325645099997928,4,11988,5325984,12029
euclidean_distance,7,3296,20.411775500000658,13,42848,24634180,42981
euclidean_distance,7,3625,20.757388499998342,12,43500,25262400,43635
euclidean_distance,7,3987,10.467969000001176,5,19935,12986281,19993
euclidean_distance,7,4385,25.860092399998393,9,39465,31893961,39566
euclidean_distance,7,4823,19.516824899998028,7,33761,24181117,33842
euclidean_distance,7,5305,37.24937769999815,9,47745,45731401,47851
euclidean_distance,7,5835,68.444445000001,13,75855,85149857,76005
euclidean_distance,7,6418,51.971669100003055,10,64180,64551034,64289
euclidean_distance,7,7059,60.13546029999998,8,56472,74761642,56558
euclidean_distance,7,7764,79.19718479999938,9,69876,97882548,69980
euclidean_distance,7,8540,60.17111429999932,7,59780,74482830,59857
euclidean_distance,7,9394,91.91926140000214,8,75152,114468732,75235
euclidean_distance,7,10333,297.8716799000031,22,227326,368963386,227565
manhattan_distance,2,100,0.005587700001342455,2,200,10600,205
manhattan_distance,2,110,0.013427300000330433,4,440,27748,453
manhattan_distance,2,121,0.011984900000243215,3,363,24564,373
manhattan_distance,2,133,0.017212700000527548,3,399,35052,408
manhattan_distance,2,146,0.01876519999859738,3,438,36700,448
manhattan_distance,2,160,0.023833100000047125,3,480,43368,490
manhattan_distance,2,176,0.03443499999775668,4,704,67984,718
manhattan_distance,2,193,0.06889139999839244,6,1158,127132,1179
manhattan_distance,2,212,0.05093950000082259,4,848,98832,861
manhattan_distance,2,233,0.027493100002175197,2,466,55692,472
manhattan_distance,2,256,0.05084250000072643,3,768,101962,778
manhattan_distance,2,281,0.07105159999991884,3,843,142396,853
manhattan_distance,2,309,0.12828970000191475,5,1545,257056,1562
manhattan_distance,2,339,0.09337869999944814,3,1017,186834,1027
manhattan_distance,2,372,0.10640919999787002,3,1116,212174,1126
manhattan_distance,2,409,0.12730050000027404,3,1227,254784,1237
manhattan_distance,2,449,0.1568332000024384,3,1347,306988,1357
manhattan_distance,2,493,0.12581260000297334,2,986,246020,992
manhattan_distance,2,542,0.14865070000087144,2,1084,297016,1090
manhattan_distance,2,596,0.2835408999999345,3,1788,548270,1798
manhattan_distance,2,655,0.3253050000021176,3,1965,649854,1974
manhattan_distance,2,720,0.6486934999993537,4,2880,1279644,2894
manhattan_distance,2,792,0.6773651000003156,4,3168,1350274,3182
manhattan_distance,2,871,0.9045361999997112,4,3484,1784500,3498
manhattan_distance,2,958,1.3899659000016982,5,4790,2759924,4808
manhattan_distance,2,1053,0.8886388999999326,3,3159,1763004,3168
manhattan_distance,2,1158,1.0073502999985067,3,3474,2022524,3484
manhattan_distance,2,1273,0.8291333000015584,2,2546,1628168,2552
manhattan_distance,2,1400,1.568287900001451,3,4200,3137720,4210
manhattan_distance,2,1540,1.1970222000018111,2,3080,2380840,3086
manhattan_distance,2,1694,3.220631099997263,4,6776,6468340,6790
manhattan_distance,2,1863,3.966358100002253,4,7452,7948200,7466
manhattan_distance,2,2049,4.30925600000046,4,8196,8562168,8210
manhattan_distance,2,2253,2.5384791000033147,2,4506,5089528,4512
manhattan_distance,2,2478,3.067696699999942,2,4956,6155352,4962
manhattan_distance,2,2725,5.659700899999734,3,8175,11329428,8185
manhattan_distance,2,2997,4.485475299999962,2,5994,8999992,6000
manhattan_distance,2,3296,11.204043900001125,4,13184,22591504,13198
manhattan_distance,2,3625,10.63908850000007,3,10875,21464076,10885
manhattan_distance,2,3987,7.930467999998655,2,7974,15920092,7980
manhattan_distance,2,4385,15.991557400000602,3,13155,32156044,13165
manhattan_distance,2,4823,31.604135400000814,5,24115,63201070,24133
manhattan_distance,2,5305,13.802495699997962,2,10610,28174856,10616
manhattan_distance,2,5835,36.472930500000075,4,23340,73593140,23354
manhattan_distance,2,6418,54.50001070000144,5,32090,105786068,32107
manhattan_distance,2,7059,65.99200639999981,5,35295,132763894,35313
manhattan_distance,2,7764,93.09375200000068,6,46584,187918388,46605
manhattan_distance,2,8540,36.04615619999822,2,17080,72982840,17086
manhattan_distance,2,9394,95.49039690000063,4,37576,192526824,37590
manhattan_distance,2,10333,176.9811676999998,6,61998,361601724,62019
manhattan_distance,3,100,0.006503900000097929,3,300,11206,314
manhattan_distance,3,110,0.00663929999791435,2,220,12168,229
manhattan_distance,3,121,0.008167600000888342,3,363,16137,377
manhattan_distance,3,133,0.00637309999729041,2,266,12858,275
manhattan_distance,3,146,0.01618179999786662,4,584,32104,603
manhattan_distance,3,160,0.014017100002092775,3,480,27714,494
